"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","state_id","model"
"33","p_delta[33]",0.557800000000011,1,0.496697595827022,0,0,1,1.24499457653857,11.9337529793358,NA,33,"hurdle heir"
"34","p_delta[34]",0.753599999999999,1,0.430957288877882,0,0,1,1.03181375955567,91.4805606051668,NA,34,"hurdle heir"
"35","p_delta[35]",0.931400000000002,1,0.252797985285236,0,0,1,1.06544756273229,46.6448655784258,NA,35,"hurdle heir"
"36","p_delta[36]",0.660400000000013,1,0.473620843439848,0,0,1,1.22552398544204,13.1202874556371,NA,36,"hurdle heir"
"37","p_delta[37]",0.901399999999997,1,0.298154019197854,0,0,1,1.20417881974303,13.9223761697247,NA,37,"hurdle heir"
"38","p_delta[38]",0.792999999999996,1,0.405196047324453,0,0,1,1.31842855717087,9.93616151586294,NA,38,"hurdle heir"
"39","p_delta[39]",0.632599999999996,1,0.482144929193014,0,0,1,1.73562901092572,6.09962145657449,NA,39,"hurdle heir"
"40","p_delta[40]",0.420199999999993,0,0.493640249715525,0,0,1,1.51011125782832,7.28158851093243,NA,40,"hurdle heir"
"41","p_delta[41]",0.575800000000002,1,0.494270392239041,0,0,1,1.2336969432766,12.184060686966,NA,41,"hurdle heir"
"42","p_delta[42]",0.792400000000007,1,0.40562932220121,0,0,1,1.29885887720447,10.4519384546918,NA,42,"hurdle heir"
"43","p_delta[43]",0.735399999999991,1,0.441164102294194,0,0,1,1.46977096103249,7.75346664701469,NA,43,"hurdle heir"
"44","p_delta[44]",0.52139999999999,1,0.499591791757734,0,0,1,2.16842431331798,5.15562132607416,NA,44,"hurdle heir"
"45","p_delta[45]",0.801200000000004,1,0.399137096853225,0,0,1,1.28233616626728,10.9107932675761,NA,45,"hurdle heir"
"46","p_delta[46]",0.783599999999997,1,0.411831228772403,0,0,1,1.431191555912,8.10191415607165,NA,46,"hurdle heir"
"47","p_delta[47]",0.725800000000005,1,0.44615487314849,0,0,1,1.21367424452568,13.5436039888965,NA,47,"hurdle heir"
"48","p_delta[48]",0.596800000000011,1,0.490589334962655,0,0,1,1.61729090745855,6.62280060949012,NA,48,"hurdle heir"
