"","case_month","res_state","res_county","county_fips_code","cases","hosp_yes","hosp_no","hosp_missing","death_yes","death_no","death_missing","jhu_cases","jhu_deaths","CovidDeathCount","CovidContributingCount","county_name","new_hosp","death"
"413",2022-04-01,"NE","MADISON",31119,68,2,1,65,0,0,68,7,24,0,0,"Madison",0,0
"414",2022-04-01,"NE","PLATTE",31141,14,0,9,5,0,0,14,49,25,0,0,"Platte",0,1
"415",2022-04-01,"NE","SARPY",31153,418,4,89,325,0,0,418,107,117,2,3,"Sarpy",0,4
"416",2022-04-01,"NE","SAUNDERS",31155,87,0,13,74,0,0,87,9,14,0,0,"Saunders",0,0
"417",2022-04-01,"NE","SCOTTS BLUFF",31157,41,2,18,21,0,0,41,50,35,0,0,"Scotts Bluff",0,0
"418",2022-04-01,"NE","WASHINGTON",31177,72,0,15,57,0,0,72,32,18,1,1,"Washington",0,1
"419",2022-05-01,"NE","ADAMS",31001,71,0,41,30,0,0,71,0,0,0,0,"Adams",0,1
"420",2022-05-01,"NE","BUFFALO",31019,164,4,97,63,0,11,153,13,4,0,0,"Buffalo",14,0
"421",2022-05-01,"NE","CASS",31025,48,0,33,15,0,0,48,66,0,0,2,NA,NA,NA
"422",2022-05-01,"NE","DAKOTA",31043,36,1,26,9,0,0,36,-38,1,0,0,NA,NA,NA
"423",2022-05-01,"NE","DAWSON",31047,51,1,17,33,0,0,51,-3,0,0,0,"Dawson",0,0
"424",2022-05-01,"NE","DODGE",31053,126,1,34,91,0,0,126,50,1,1,1,"Dodge",0,1
"425",2022-05-01,"NE","DOUGLAS",31055,2099,17,1054,1028,0,0,2099,798,1,4,16,"Douglas",169,1
"426",2022-05-01,"NE","GAGE",31067,13,0,7,6,0,0,13,-1,0,0,0,"Gage",0,0
"427",2022-05-01,"NE","HALL",31079,118,1,114,3,0,116,2,0,0,0,0,"Hall",14,0
"428",2022-05-01,"NE","LANCASTER",31109,1087,12,629,446,0,0,1087,1083,3,3,5,"Lancaster",44,2
"429",2022-05-01,"NE","LINCOLN",31111,52,1,28,23,0,0,52,37,5,0,0,"Lincoln",6,0
"430",2022-05-01,"NE","MADISON",31119,100,3,2,95,0,0,100,11,1,0,0,"Madison",0,0
"431",2022-05-01,"NE","PLATTE",31141,94,0,93,1,0,0,94,4,0,1,1,"Platte",0,1
"432",2022-05-01,"NE","SARPY",31153,496,2,334,160,0,0,496,535,8,0,1,"Sarpy",7,2
"433",2022-05-01,"NE","SAUNDERS",31155,61,1,10,50,0,0,61,19,0,0,0,"Saunders",0,0
"434",2022-05-01,"NE","SCOTTS BLUFF",31157,124,7,50,67,0,0,124,32,0,0,0,"Scotts Bluff",9,0
"435",2022-05-01,"NE","WASHINGTON",31177,77,1,19,57,0,0,77,46,2,1,1,"Washington",0,1
"436",2022-06-01,"NE","ADAMS",31001,117,1,42,74,0,0,117,85,0,0,0,"Adams",0,0
"437",2022-06-01,"NE","BUFFALO",31019,330,3,165,162,0,0,330,280,0,1,5,"Buffalo",33,2
"438",2022-06-01,"NE","CASS",31025,82,1,51,30,0,0,82,117,1,0,0,NA,NA,NA
"439",2022-06-01,"NE","DAKOTA",31043,53,0,51,2,0,0,53,45,0,0,0,NA,NA,NA
"440",2022-06-01,"NE","DAWSON",31047,94,2,37,55,0,0,94,82,0,0,0,"Dawson",0,0
"441",2022-06-01,"NE","DODGE",31053,119,5,50,64,0,0,119,162,2,0,1,"Dodge",11,0
"442",2022-06-01,"NE","DOUGLAS",31055,3653,42,1568,2043,0,0,3653,3651,6,5,16,"Douglas",275,4
"443",2022-06-01,"NE","GAGE",31067,38,1,6,31,0,0,38,36,1,1,1,"Gage",13,1
"444",2022-06-01,"NE","HALL",31079,56,1,35,20,0,51,5,282,6,2,3,"Hall",30,2
"445",2022-06-01,"NE","LANCASTER",31109,1326,10,342,974,0,0,1326,2195,-1,1,3,"Lancaster",86,1
