"","PLAYER","TEAM","AGE","POS","HANDED","GP","G","A","P","P/GP","+/-","Sh","Sh%","TOI","W","L","SO","GAA","Sv%","CLAUSE","EXPIRY","CAP HIT","SALARY"
"380","380. Calvin De Haan","TBL",33,"LD/RD","Left",59,"3","7","10","0.17","-9","56","0.05","16:37","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"381","381. Adam Erne","EDM",29,"LW, RW","Left",24,"1","1","2","0.08","0","13","0.08","07:49","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"382","382. Rasmus Asplund","FLA",26,"LW, C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"383","383. Maxime Lajoie","TOR",26,"LD","Left",7,"0","1","1","0.14","1","1","0.00","12:43","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"384","384. Matthew Phillips","WSH",26,"RW, C","Right",31,"1","4","5","0.16","-3","21","0.05","10:10","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"385","385. Garrett Pilon","OTT",26,"C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"386","386. Nathan Clurman","COL",26,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"387","387. Jesper Boqvist","BOS",25,"C, LW","Left",47,"6","8","14","0.30","12","51","0.12","11:09","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"388","388. Matthew Highmore","OTT",28,"LW, RW","Left",7,"0","2","2","0.29","0","1","0.00","07:42","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"389","389. Carson Meyer","CBJ",26,"RW","Right",14,"1","1","2","0.14","-2","10","0.10","09:07","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"390","390. Philippe Maillet","MTL",31,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"391","391. Egor Sokolov","OTT",24,"LW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"392","392. Kiefer Sherwood","NSH",29,"LW, RW","Right",68,"10","17","27","0.40","17","110","0.09","12:10","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"393","393. Justin Richards","BUF",26,"C, RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"394","394. Ben Meyers","ANA",25,"LW, C","Left",23,"1","2","3","0.13","-4","12","0.08","10:06","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
